*****************************
Basic coeficients
*****************************
Alpha, Cd
   14.00    ,   -6.730    
   16.00    ,   -6.730    
   18.00    ,   -6.730    
   19.00    ,   -6.730    
   20.00    ,   -6.730    
   21.00    ,   -6.730    
   22.00    ,   -6.730    
   24.00    ,   -6.730    

Alpha, CLad_Basic
  -16.00    ,   -.8958E-02
  -8.000    ,   -.8590E-02
  -6.000    ,   -.8318E-02
  -4.000    ,   -.7897E-02
  -2.000    ,   -.7499E-02
    .000    ,   -.7759E-02
   2.000    ,   -.7727E-02
   4.000    ,   -.7467E-02
   8.000    ,   -.6680E-02
   9.000    ,   -.6049E-02
   10.00    ,   -.5117E-02
   12.00    ,   -.3993E-02
   14.00    ,   -.2390E-02
   16.00    ,    .2219E-02
   18.00    ,    .1002E-01
   19.00    ,    .1980E-01
   20.00    ,    .2803E-01
   21.00    ,    .2568E-01
   22.00    ,    .2017E-01
   24.00    ,    .1523E-01

Alpha, Cmad_Basic
  -16.00    ,   -.1172E-01
  -8.000    ,   -.1124E-01
  -6.000    ,   -.1088E-01
  -4.000    ,   -.1033E-01
  -2.000    ,   -.9811E-02
    .000    ,   -.1015E-01
   2.000    ,   -.1011E-01
   4.000    ,   -.9769E-02
   8.000    ,   -.8740E-02
   9.000    ,   -.7914E-02
   10.00    ,   -.6695E-02
   12.00    ,   -.5224E-02
   14.00    ,   -.3127E-02
   16.00    ,    .2904E-02
   18.00    ,    .1311E-01
   19.00    ,    .2590E-01
   20.00    ,    .3667E-01
   21.00    ,    .3360E-01
   22.00    ,    .2638E-01
   24.00    ,    .1993E-01

Alpha, Clp
  -16.00    ,    .2198E-02
  -8.000    ,    .2140E-02
  -6.000    ,    .2087E-02
  -4.000    ,    .2043E-02
  -2.000    ,    .2087E-02
    .000    ,    .2177E-02
   2.000    ,    .2240E-02
   4.000    ,    .2273E-02
   8.000    ,    .2107E-02
   9.000    ,    .1889E-02
   10.00    ,    .1626E-02
   12.00    ,    .1236E-02
   14.00    ,    .7849E-03
   16.00    ,   -.7093E-03
